FrameworkNumber,Framework,title,Small_description,Description,Benefits
RM930,HMRC Royal Mail Wholesale,,,,
RM990,Postal Services - Royal Mail Initiative,,,,
RM3825,HSCN DPS,HSCN Access Services DPS,Access to the Health and Social Care Network (HSCN) for data sharing. Including support for transition and implementation.,"This is the description of the Workforce Improvement Services agreement. 
This agreement is focussed on NHS and health sector customers, but is accessible to all contracting authorities and provides you with the ability to appoint experienced workforce suppliers.
These suppliers will have the knowledge and expertise needed to understand and resolve the unique challenges that your workforce faces and develop a managed solution thatconsidersall aspects of your workforce.
Suppliers will work closely with you to provide managed workforce solutions that are designed to solve your specific needs. Solutions can include (but are not limited to):
permanent recruitment
temporary appointments
management of flexible workforce solutions such as staff banks which is where staff are flexibly allocated to shifts
providing any mix of services or job roles
The agreement will last for an initial 2 years. It may be extended for up to a total of 4 years.
","These are the benefits of the Workforce Improvement Services agreement. 
provides a dedicated and tailored route to market for Workforce Improvement Services
access to proven advice and solutions for addressing workforce issues
access to complete a workforce solution using a single contracting option
"
RM6071,Print Marketplace,Print Marketplace,"A self-service platform for buying printed material all over the UK, including brochures, flyers, leaflets, business cards, letterheads and other transactional print.","This is the description of the Security - Physical, Technical and Support Services agreement. 
Access security services across the UK. Suppliers provide services across 40 UK regions as defined by the Nomenclature of Territorial Statistics (NUTS). Suppliers may have opportunities to provide services internationally.
Products and services available include:
guarding services such as, static and mobile patrolling and manning of receptions
dealing with visitors and monitoring video surveillance systems
installation and maintenance of security systems, for example alarms, perimeter fencing and locks
consultancy services
risk and security assessments
There are eleven groups of related services, or ‘work packages’ which are provided across four lots. You can buy more than one work package if needed. The work packages are:
A: Contract Management and Mobilisation
B: Guarding Services
C: Physical and Technical Security Services
D: Maintenance of security systems
E: Alarmed Response Centre
F: Helpdesk Services
G: Consultancy Services
H: Risk Assessment
I: Security Assessment
J: Security awareness/training
K: Management of Billable Works
If you are a consultant working on behalf of a public sector organisation you must sign a non-disclosure agreement. The organisation you are working for must also complete a consultant approval form. You can find these documents in the document section below. Once completed you cansend the documents to us by email.
","These are the benefits of the Security - Physical, Technical and Support Services agreement. 
value for money: all suppliers have been selected based on quality and price
security services you can trust: all suppliers have demonstrable experience within the security sector and it is mandatory for all suppliers to comply with Centre for the Protection of National Infrastructure guidance
provides a simple route for you to access a range of security suppliers through either a further competition or direct award
flexible, clear terms and conditions including the simplified Public Sector Contract which means you can select contract schedules according to your needs
access expert knowledge and support: our experienced team will offer both technical and commercial support to your procurement
social value: you can ask suppliers to change their offer to match your social value priorities at call-off
fully compliant with social value Procurement Policy Notes (PPNs)
suppliers have submitted a Carbon Reduction Plan (CRP) to gain a place on this agreement, they will then need to resubmit annually in line with PPN 06/21
we manage and monitor the financial standing of suppliers on our framework in line with the sourcing playbook so you do not have to
"
RM6068,Technology Products & Associated Services,Technology Products & Associated Services,"This agreement expired on 9 December 2023 and has been replaced by RM6098 Technology Products and Associated Services 2.
Lot 4 extension until 31 December 2024","This is the description of the Digital and IT Professional Services (DIPS) agreement. 
This agreement falls under the UK Defence and Security Public Contracts Regulations 2011 (DSPCR 2011). It is available only for use by the Ministry of Defence (MOD), following the rules of the Framework and call off procedure.
This agreement has multiple lots which are organised by capability and skills across the full IT spectrum.
Each lot has the flexibility to provide against a variety of requirements without needing a multi-lot approach. You will not be able to buy services across multiple lots within a single call off.
If you need to access services from multiple lots you will need to either:
place these as separate call offs within each lot
run a separate procurement (needed for very significant requirements only)
This agreement is available for up to 4 years. Call off contracts are not limited by duration. You have the ability to award short, medium or longer term arrangements that best suit your project needs.
No extensions are available for this agreement.
The services will be divided into six lots, each lot will consist of up to seven providers and afull supplier list for each lot can be located on the DSP DIPS Framework SharePoint Page. For more information on products and services or how to buy from this agreement, read the relevant sections below.
","These are the benefits of the Digital and IT Professional Services (DIPS) agreement. 
rationalisation of the Professional Services space will enable meaningful engagement with industry partners and SMEs
rationalisation will help MOD to become a better customer by streamlining and focusing efforts in one direction
pipeline sharing
suppliers assisting to shape the requirement
a comprehensive set of Digital, ICT and Cyber capability and expertise
timely access to required capability and expertise
focused on outcomes to ensure that the right incentives and drivers are put in place for each requirement to ensure quality of delivery and control of costs and timescales
"
RM6088,Construction Works and Associated Services,Construction Works and Associated Services,"Delivers a wide range of major and minor building, and civil engineering projects for central government and the wider public sector.","This is the description of the Construction Professional Services DPS agreement. 
A Dynamic Purchasing System (DPS) which forms part of our new solution to buying construction services. This includes providing you with a quick, simple and flexible route to market through an extensive number of suppliers.
Services offered through this DPS will include, but are not limited to:
project management
cost management
engineering, for example civil, structural, electrical
architectural and design services (design of buildings, spaces and infrastructure)
environmental and sustainability services, for example: carbon neutral efficiencies which will help you to achieve carbon neutral
This DPS uses a filter system to help you find local suppliers that can provide the services you need.
Projects may include all forms of construction, including, but not limited to:
new builds
refurbishment of buildings and infrastructure
regeneration of buildings, towns, cities and urban areas, including upgrading of transport links and smart cities
alteration and extension of buildings
conservation and  preservation of natural resources, buildings and/or structures
maintenance works and programmes
design and build of security/counter terrorism defences, such as bomb blast buildings
demolitions of buildings and infrastructure
You will have the flexibility to choose from a range of local regional suppliers as well as those with national coverage. For more information, read our customer guide.
If you are a supplier and would like to provide your services through this DPS, access the supplier bid pack.
For further information about our DPS,watch our RM6242 customer webinar and information video.
Read ourFind a Tender Service (FTS) contracts notice.
","These are the benefits of the Construction Professional Services DPS agreement. 
value for money: we selected all suppliers using both qualitative and commercial measuresthere are options for you to carry out further project specific checks to meet your needs
there are options for you to carry out further project specific checks to meet your needs
social value and localism: you have the ability to filter services to the local area and tailor social value requirements in each further competition
accessible to suppliers of all sizes with a focus on SMEs
fast and flexible: suppliers and clients can join this DPS at any time, consistently widening the supply base and range of capabilities
expert knowledge and support: our experienced team will offer both technical and commercial support to your procurement, including guidance to support your registration journey
supports flexible industry standard call off model form contracts including:New Engineering Contract (NEC)Joint Contracts Tribunal (JCT)also uses government “boilerplate” clauses to standardise industry terms and conditions for best valueclients can also use the Public Sector Contract
New Engineering Contract (NEC)
Joint Contracts Tribunal (JCT)
also uses government “boilerplate” clauses to standardise industry terms and conditions for best value
clients can also use the Public Sector Contract
policy: aligned to latest best practice policy and standards including the:Construction PlaybookCarbon Net Zero
Construction Playbook
Carbon Net Zero
shortlisting: you can select suppliers using predetermined filters based on the servicesensures that you only shortlist suppliers who are capable of providing your required services
ensures that you only shortlist suppliers who are capable of providing your required services
"
RM6094,Spark DPS,Spark DPS,"Buy emerging technology products and services, including Internet of Things (IoT), AI and automation, simulated environments, wearables and new improvements in security.",,
RM6095,Gigabit Capable Connectivity DPS,Gigabit Capable Connectivity DPS,"Offers fibre optic infrastructure services, such as broadband connectivity and infrastructure build that can be used by all UK public sector bodies.",,
RM6099,Transport Technology & Associated Services,Transport Technology & Associated Services,"Offers a wide range of transport technologies and services for the aviation, road, rail and maritime sectors.",,
RM6098,Technology Products & Associated Services 2,Technology Products & Associated Services 2,"All UK public sector organisations can access technology hardware, software and services including end user devices, servers, storage, infrastructure devices, software licences and accessories.",,
